NumPlanes,LargestPlaneCount,AveragePlaneCount,AverageNumVertsPerPlane,AverageTextureSize,TotalPlaneCount,AverageNumVerts,Average Texture Size,PipelineUS
8,2518,864,4763,368640,6912,38104,2949120,30132
7,2505,1025,3974,341723,7175,27818,2392061,28731
6,2500,1128,4224,387754,6768,25344,2326524,24937
1,1375,1375,5913,1048576,1375,5913,1048576,15310
1,1498,1498,5921,1048576,1498,5921,1048576,11710
1,1616,1616,6022,1048576,1616,6022,1048576,12046
1,1701,1701,2769,262144,1701,2769,262144,8786
8,2099,1039,4469,389120,8312,35752,3112960,21149
8,2048,1056,4254,389120,8448,34032,3112960,29453
8,1964,1070,4346,454656,8560,34768,3637248,36079
8,2108,1089,5017,421888,8712,40136,3375104,31221
8,2179,1031,5606,487424,8248,44848,3899392,34032
9,2253,919,5373,433265,8271,48357,3899385,33991
8,2407,1075,5349,323584,8600,42792,2588672,30083
8,2513,1089,4984,294912,8712,39872,2359296,27952
4,2607,1624,7238,557056,6496,28952,2228224,35478
4,2718,1702,7472,557056,6808,29888,2228224,22018
5,2799,1457,6199,452198,7285,30995,2260990,27829
5,2882,1504,6170,452198,7520,30850,2260990,25505
4,2973,1892,7062,557056,7568,28248,2228224,22525
4,3057,1954,7305,557056,7816,29220,2228224,21357
4,3070,1967,6919,557056,7868,27676,2228224,22989
7,3162,1365,5074,404918,9555,35518,2834426,32580
7,3131,1361,5048,367469,9527,35336,2572283,27321
7,3184,1305,5166,383853,9135,36162,2686971,30989
7,3203,1326,5388,346404,9282,37716,2424828,26425
7,3232,1318,5447,421302,9226,38129,2949114,30336
4,3234,1974,7065,622592,7896,28260,2490368,27061
4,3250,1962,5744,491520,7848,22976,1966080,25145
4,3286,1922,5775,491520,7688,23100,1966080,22350
4,3439,1882,4128,327680,7528,16512,1310720,26417
4,3449,1831,4110,327680,7324,16440,1310720,17186
2,3591,2150,5715,327680,4300,11430,655360,13130
4,3590,1405,4132,245760,5620,16528,983040,14020
4,3761,1407,4502,294912,5628,18008,1179648,16487
4,3829,1404,4613,229376,5616,18452,917504,14339
4,3948,1412,5170,278528,5648,20680,1114112,13405
3,4207,1874,7040,264874,5622,21120,794622,13251
1,4291,4291,16621,524288,4291,16621,524288,10012
4,4268,1402,6628,345088,5608,26512,1380352,13528
3,4492,1819,8248,439637,5457,24744,1318911,15767
3,4885,1865,8146,442368,5595,24438,1327104,17039
3,4798,1753,7729,439637,5259,23187,1318911,14908
3,4880,1712,6811,382293,5136,20433,1146879,14399
2,4882,2498,9537,557056,4996,19074,1114112,13109
2,5064,2595,9144,540672,5190,18288,1081344,16269
2,5081,2589,7941,557056,5178,15882,1114112,15590
2,5246,2658,7560,294912,5316,15120,589824,14111
2,5113,2584,8547,786432,5168,17094,1572864,14867
2,5079,2574,8005,589824,5148,16010,1179648,16076
2,4904,2488,9010,589824,4976,18020,1179648,15542
2,5012,2545,8301,528384,5090,16602,1056768,12035
2,5045,2560,8587,786432,5120,17174,1572864,14811
3,5016,1725,7025,611669,5175,21075,1835007,20231
3,5252,1826,7323,873813,5478,21969,2621439,20709
2,5662,2867,7274,524288,5734,14548,1048576,16721
2,5647,2863,6470,278528,5726,12940,557056,10230
2,5745,2900,8633,393216,5800,17266,786432,11225
1,5442,5442,12657,524288,5442,12657,524288,12255
1,5543,5543,27140,1048576,5543,27140,1048576,15351
2,5637,2841,12925,528384,5682,25850,1056768,13211
1,5910,5910,23828,1048576,5910,23828,1048576,12220
2,6199,3118,10031,532480,6236,20062,1064960,12468
1,6388,6388,18293,1048576,6388,18293,1048576,12181
1,6625,6625,18154,1048576,6625,18154,1048576,12101
1,6767,6767,18709,1048576,6767,18709,1048576,11877
1,6845,6845,17646,1048576,6845,17646,1048576,11850
1,7214,7214,18563,1048576,7214,18563,1048576,11836
1,7303,7303,18196,1048576,7303,18196,1048576,11644
1,7767,7767,17836,1048576,7767,17836,1048576,11640
1,8107,8107,15468,1048576,8107,15468,1048576,12369
1,8377,8377,15009,1048576,8377,15009,1048576,12330
1,8719,8719,12828,1048576,8719,12828,1048576,12087
1,8813,8813,13603,1048576,8813,13603,1048576,12409
1,8210,8210,16743,1048576,8210,16743,1048576,12414
1,7383,7383,20658,1048576,7383,20658,1048576,13786
1,6233,6233,27394,1048576,6233,27394,1048576,14012
1,5881,5881,26733,1048576,5881,26733,1048576,14513
1,5515,5515,24012,1048576,5515,24012,1048576,14974
1,5431,5431,23097,1048576,5431,23097,1048576,16305
2,4664,3504,18444,786432,7008,36888,1572864,16306
2,3917,3000,21252,524288,6000,42504,1048576,15847
2,5216,3909,22332,524288,7818,44664,1048576,15200
2,2533,2279,23754,393216,4558,47508,786432,12830
2,2833,2634,12181,262144,5268,24362,524288,11967
2,4933,3638,7153,262144,7276,14306,524288,10091
2,6272,4252,6418,262144,8504,12836,524288,9939
2,6593,4307,5591,262144,8614,11182,524288,9396
2,6831,4278,5254,196608,8556,10508,393216,10284
3,6750,2791,7788,305834,8373,23364,917502,11464
1,6651,6651,3436,262144,6651,3436,262144,12818
1,6589,6589,3414,262144,6589,3414,262144,7809
1,6520,6520,3468,262144,6520,3468,262144,8635
4,6452,2675,10091,278528,10700,40364,1114112,13427
3,6235,2835,13503,349525,8505,40509,1048575,14644
3,5991,2843,15428,349525,8529,46284,1048575,15201
3,5544,2826,16369,349525,8478,49107,1048575,13924
3,5099,2855,17361,524288,8565,52083,1572864,16204
3,4461,2830,18009,524288,8490,54027,1572864,17378
3,3987,2963,13719,524288,8889,41157,1572864,16800
1,4457,4457,9265,524288,4457,9265,524288,11586
1,4871,4871,9218,524288,4871,9218,524288,9237
1,5311,5311,9425,524288,5311,9425,524288,8944
1,5633,5633,9860,524288,5633,9860,524288,9028
1,5901,5901,4772,262144,5901,4772,262144,7696
1,6271,6271,4592,262144,6271,4592,262144,6962
1,6486,6486,4756,524288,6486,4756,524288,11148
1,6862,6862,5060,524288,6862,5060,524288,8608
1,6976,6976,5216,524288,6976,5216,524288,9864
1,7014,7014,5488,524288,7014,5488,524288,11412
1,7029,7029,5468,524288,7029,5468,524288,9368
1,7015,7015,5956,524288,7015,5956,524288,9427
1,6877,6877,5825,524288,6877,5825,524288,9695
1,6836,6836,5657,524288,6836,5657,524288,10244
3,6732,3579,4326,436906,10737,12978,1310718,12634
3,6562,3565,4395,436906,10695,13185,1310718,15745
3,6446,3565,4404,436906,10695,13212,1310718,16600
3,6244,3547,4684,436906,10641,14052,1310718,15911
3,6102,3547,4706,436906,10641,14118,1310718,14761
3,6059,3599,4836,436906,10797,14508,1310718,15123
3,5905,3556,3924,436906,10668,11772,1310718,14278
4,5717,2717,4074,393216,10868,16296,1572864,16530
3,5565,3485,4156,436906,10455,12468,1310718,16419
3,5486,3480,4333,436906,10440,12999,1310718,17184
3,5311,3440,4402,436906,10320,13206,1310718,14552
5,5080,2155,4287,340787,10775,21435,1703935,17489
5,4934,2177,4877,393216,10885,24385,1966080,19922
5,4706,2141,4502,380108,10705,22510,1900540,20024
5,4542,2115,4703,380108,10575,23515,1900540,18753
6,4299,1763,4282,322218,10578,25692,1933308,20816
6,4157,1739,4752,360448,10434,28512,2162688,25425
6,3886,1648,4954,360448,9888,29724,2162688,27244
6,3562,1627,4568,278528,9762,27408,1671168,21816
6,3210,1584,5979,447829,9504,35874,2686974,32389
6,2950,1576,5629,447829,9456,33774,2686974,25974
6,2675,1607,5738,480597,9642,34428,2883582,28588
6,2660,1634,5935,502442,9804,35610,3014652,29875
6,2712,1647,5698,546133,9882,34188,3276798,34727
6,2700,1633,6891,611669,9798,41346,3670014,34519
6,2658,1603,7179,611669,9618,43074,3670014,35869
6,2556,1542,7793,524288,9252,46758,3145728,36910
4,1436,1214,9358,524288,4856,37432,2097152,28103
6,2303,1434,4918,589824,8604,29508,3538944,28422
3,2255,1833,6795,436906,5499,20385,1310718,23023
4,2020,1243,6260,360448,4972,25040,1441792,16096
4,1990,1184,6752,278528,4736,27008,1114112,15062
6,2249,1262,5376,447829,7572,32256,2686974,27174
3,2429,1978,8826,524288,5934,26478,1572864,18738
3,2635,2073,8168,524288,6219,24504,1572864,18768
3,2797,2150,8117,436906,6450,24351,1310718,25559
3,2715,2159,8423,436906,6477,25269,1310718,17664
5,2788,1451,4920,265420,7255,24600,1327100,24408
4,2674,1712,4707,262144,6848,18828,1048576,14579
5,2565,1501,4186,314572,7505,20930,1572860,15871
3,2496,1585,4160,185685,4755,12480,557055,11930
4,2460,1882,4766,327680,7528,19064,1310720,13530
4,2280,1816,4661,327680,7264,18644,1310720,15528
4,2408,1908,4575,393216,7632,18300,1572864,15268
5,2997,1609,5282,373555,8045,26410,1867775,18235
5,3620,1700,3844,380108,8500,19220,1900540,18284
2,4145,2685,5041,393216,5370,10082,786432,13530
5,4577,1780,3766,425984,8900,18830,2129920,17829
4,4825,2136,4959,458752,8544,19836,1835008,18471
5,4976,1731,4256,373555,8655,21280,1867775,19299
4,5180,2160,4267,458752,8640,17068,1835008,19961
5,5375,1745,3790,373555,8725,18950,1867775,25481
6,5557,1454,3641,322218,8724,21846,1933308,26095
5,6061,1756,3478,249036,8780,17390,1245180,19046
7,6465,1292,4467,257462,9044,31269,1802234,17295
6,6814,1484,4450,202154,8904,26700,1212924,18416
3,7287,2611,6604,393216,7833,19812,1179648,14531
3,7721,2702,6687,349525,8106,20061,1048575,13658
5,8264,1799,6570,399769,8995,32850,1998845,19063
1,8741,8741,5798,524288,8741,5798,524288,12080
3,9482,3212,3987,229376,9636,11961,688128,9767
2,9819,4947,2404,278528,9894,4808,557056,10132
1,10161,10161,4607,524288,10161,4607,524288,8649
2,10546,5326,2132,270336,10652,4264,540672,8837
2,10621,5361,2422,786432,10722,4844,1572864,13343
2,10804,5419,2168,327680,10838,4336,655360,12258
1,10872,10872,4128,524288,10872,4128,524288,9815
1,10878,10878,4237,524288,10878,4237,524288,8667
1,11220,11220,3882,524288,11220,3882,524288,8737
1,11098,11098,4046,524288,11098,4046,524288,8716
1,11234,11234,3768,524288,11234,3768,524288,8742
1,11280,11280,3762,524288,11280,3762,524288,8898
2,11148,5602,1853,264192,11204,3706,528384,9117
1,11240,11240,3581,524288,11240,3581,524288,8760
1,11196,11196,7060,1048576,11196,7060,1048576,11329
2,11236,5680,3378,540672,11360,6756,1081344,13164
2,10846,5497,3511,655360,10994,7022,1310720,13633
2,10550,5364,9306,786432,10728,18612,1572864,16198
2,10342,5285,4006,294912,10570,8012,589824,11990
3,10097,3450,4214,371370,10350,12642,1114110,13316
2,10117,5175,4443,294912,10350,8886,589824,11961
2,10169,5198,4513,294912,10396,9026,589824,11078
2,10063,5136,4441,278528,10272,8882,557056,11512
2,9871,5032,4221,278528,10064,8442,557056,12132
2,9806,4999,4188,294912,9998,8376,589824,11798
3,9556,3272,4027,360448,9816,12081,1081344,12391
2,9502,4832,4159,294912,9664,8318,589824,10725
2,9273,4713,4114,278528,9426,8228,557056,10925
2,9817,4992,4279,294912,9984,8558,589824,10255
2,8814,4491,4120,278528,8982,8240,557056,10452
2,8617,4398,7826,540672,8796,15652,1081344,14970
2,8345,4247,8473,557056,8494,16946,1114112,16409
2,8128,4152,8553,557056,8304,17106,1114112,17527
2,8185,4181,8035,557056,8362,16070,1114112,13656
2,8264,4206,8480,557056,8412,16960,1114112,13394
2,7989,4078,8250,557056,8156,16500,1114112,13687
2,7956,4074,8055,540672,8148,16110,1081344,13970
2,7948,4086,7975,557056,8172,15950,1114112,14976
2,7890,4052,7681,557056,8104,15362,1114112,14218
2,7807,4031,7724,540672,8062,15448,1081344,13832
2,8100,4135,6858,655360,8270,13716,1310720,14553
1,8053,8053,12224,1048576,8053,12224,1048576,14564
2,8482,4266,6476,532480,8532,12952,1064960,16427
1,8718,8718,11723,1048576,8718,11723,1048576,15913
1,8953,8953,11732,1048576,8953,11732,1048576,13019
1,9159,9159,12877,1048576,9159,12877,1048576,12638
1,9231,9231,13257,1048576,9231,13257,1048576,12778
1,9316,9316,6601,524288,9316,6601,524288,10107
1,9228,9228,7007,524288,9228,7007,524288,8860
1,8309,8309,9448,524288,8309,9448,524288,8449
2,8254,4165,6714,294912,8330,13428,589824,9601
2,7148,3841,7527,327680,7682,15054,655360,10335
2,5985,3294,12803,327680,6588,25606,655360,10182
4,6046,1819,5874,180224,7276,23496,720896,11324
3,6191,3041,4265,262144,9123,12795,786432,11519
3,6328,3525,3805,305834,10575,11415,917502,12126
3,6092,3535,3685,305834,10605,11055,917502,12164
3,5832,3431,3776,349525,10293,11328,1048575,13177
4,5251,2167,4948,180224,8668,19792,720896,12789
3,5061,3019,4991,218453,9057,14973,655359,12163
3,4204,3026,4048,218453,9078,12144,655359,11917
2,3725,3674,4427,262144,7348,8854,524288,9801
2,3866,3635,4265,262144,7270,8530,524288,10048
4,3944,2565,4017,229376,10260,16068,917504,12358
2,3841,3335,4239,262144,6670,8478,524288,10284
2,3729,3040,4276,196608,6080,8552,393216,9038
2,3410,2643,4102,196608,5286,8204,393216,8727
2,2758,2035,4110,196608,4070,8220,393216,9308
2,2488,1683,4305,196608,3366,8610,393216,11366
2,2023,1229,6609,196608,2458,13218,393216,8244
3,2178,1519,13232,218453,4557,39696,655359,9753
3,2829,2077,8756,349525,6231,26268,1048575,12160
3,4173,3084,5745,436906,9252,17235,1310718,13902
3,4444,3149,6004,349525,9447,18012,1048575,13534
3,4421,3090,5828,349525,9270,17484,1048575,13317
3,4379,3032,5908,349525,9096,17724,1048575,12753
3,4347,2940,6331,349525,8820,18993,1048575,12787
3,4379,2940,6908,349525,8820,20724,1048575,13411
3,4280,2804,7397,349525,8412,22191,1048575,13672
3,4108,2731,8273,436906,8193,24819,1310718,14508
3,4036,2786,8031,436906,8358,24093,1310718,14466
1,4077,4077,4340,262144,4077,4340,262144,9740
1,4064,4064,4390,262144,4064,4390,262144,7029
1,4003,4003,4306,262144,4003,4306,262144,6945
2,3953,2170,4242,196608,4340,8484,393216,8258
4,3946,2342,5326,262144,9368,21304,1048576,11947
2,3898,2268,4701,262144,4536,9402,524288,10804
